 api               |      30 |        0 |       0 |   31.03 |                   
  index.js         |      30 |        0 |       0 |   31.03 | 357-391,551-618   
 api/actions       |   87.57 |    80.29 |   80.19 |    87.9 |                   
  bookmark.js      |   90.32 |    73.33 |      25 |   90.32 | 46,56,76          
  follow.js        |      90 |    90.47 |   33.33 |   93.47 | 85-86,98          
  like.js          |   90.32 |    73.33 |      25 |   90.32 | 45,55,75          
  quote.js         |   83.33 |    60.71 |      60 |    82.6 | 75,92,113,137-148 
  reply.js         |   85.57 |     62.5 |   71.42 |   84.84 | ...53-164,213,229 
  retweet.js       |    92.1 |    73.33 |      20 |    92.1 | 45,55,86          
 api/agent         |   83.17 |     76.1 |   90.76 |   83.84 |                   
  actionEngine.js  |   88.38 |    86.24 |      75 |   90.99 | ...15,513,520-542 
  executor.js      |     100 |    96.96 |     100 |     100 | 60                
  finder.js        |     100 |      100 |     100 |     100 |                   
  gameRunner.js    |   50.62 |    35.94 |   85.18 |   50.12 | 223-595,630,777   
  index.js         |     100 |      100 |     100 |     100 |                   
  llmClient.js     |    72.9 |    68.11 |   68.75 |   75.64 | ...69,273,308-424 
  observer.js      |     100 |    97.29 |     100 |     100 | 22                
  promptAdapter.js |     100 |    97.95 |     100 |     100 | 292               
  responseCache.js |   84.21 |    78.94 |   93.33 |   84.44 | ...13,118,191-202 
  retryStrategy.js |   98.92 |    90.41 |     100 |   98.91 | 79                
  runner.js        |    90.6 |    92.59 |   86.66 |   91.78 | ...85-299,315-316 
  sessionStore.js  |   58.69 |    45.45 |     100 |   57.47 | ...70-282,299-303 
  tokenCounter.js  |     100 |    94.44 |     100 |     100 | 33                
  vision.js        |   85.92 |    67.77 |    64.7 |   89.51 | ...39,324,348-351 
  visualDiff.js    |   71.42 |    82.75 |     100 |   70.58 | ...81,117-132,152 
  config.js        |     100 |      100 |     100 |     100 |                   
  context.js       |   84.25 |    68.96 |   76.92 |   86.55 | ...95,201,221,238 
  decision.js      |   61.42 |    57.03 |   58.33 |   62.96 | ...99,323-347,359 
  execution.js     |   95.27 |    74.46 |    90.9 |   95.89 | 110,114-118       
  index.js         |   94.23 |    85.98 |   92.15 |    94.3 | ...59-581,593-596 
 api/behaviors     |   85.77 |    73.05 |   79.35 |   87.07 |                   
  attention.js     |   95.34 |    97.43 |    90.9 |   95.18 | 213-219           
  human-timing.js  |     100 |    88.37 |     100 |     100 | 26,73,91,116-121  
  idle.js          |   97.14 |    77.27 |    87.5 |     100 | 50,115-132        
  motor-control.js |   90.09 |    83.33 |   66.66 |   91.79 | ...90-211,224,393 
  persona-defs.js  |     100 |      100 |     100 |     100 |                   
  persona.js       |     100 |    88.88 |     100 |     100 | 308               
  recover.js       |   93.42 |     87.5 |      75 |   94.52 | 87,198-200        
  scroll-helper.js |     100 |    61.53 |     100 |     100 | 37-50,110         
  timing.js        |   93.75 |    73.91 |     100 |    93.1 | 33,84             
  warmup.js        |   96.96 |       85 |      80 |     100 | 51,77             
  action.js        |     100 |    93.18 |     100 |     100 | 48,130-136        
  content.js       |   93.65 |    70.37 |     100 |   93.33 | 101-102,126,140   
  engine.js        |   95.52 |       65 |   86.95 |   95.45 | 136-138           
  error.js         |   81.08 |    76.66 |   73.52 |   81.81 | ...06,232-247,267 
  multitask.js     |     100 |      100 |     100 |     100 |                   
  scroll.js        |   98.61 |    82.05 |   88.88 |     100 | 49,55-63,176      
  session.js       |   90.32 |    81.69 |   88.88 |   90.21 | ...41,164,257-262 
  timing.js        |   98.48 |    84.31 |     100 |   98.33 | 100               
 api/connectors    |     100 |      100 |     100 |     100 |                   
  baseDiscover.js  |     100 |      100 |     100 |     100 |                   
  ixbrowser.js     |     100 |       95 |     100 |     100 | 68                
  localBrave.js    |   95.34 |    77.27 |     100 |   95.23 | 55,105            
  localChrome.js   |     100 |      100 |     100 |     100 |                   
  localEdge.js     |     100 |      100 |     100 |     100 |                   
  localVivaldi.js  |     100 |      100 |     100 |     100 |                   
  morelogin.js     |     100 |      100 |     100 |     100 |                   
  roxybrowser.js   |   97.29 |    97.43 |     100 |   97.29 | 37                
  undetectable.js  |   95.55 |    94.44 |     100 |   95.55 | 103,130           
 api/constants     |     100 |      100 |     100 |     100 |                   
  engagement.js    |     100 |      100 |     100 |     100 |                   
 api/core          |   82.08 |    76.37 |   79.25 |   83.92 |                   
  automator.js     |   81.33 |    78.18 |   83.33 |   82.19 | ...31,451-455,492 
  cloud-client.js  |   96.44 |    92.46 |   88.88 |   96.38 | ...49-150,335-342 
  config.js        |     100 |    89.47 |     100 |     100 | 66,112            
  context-state.js |   94.82 |    96.15 |   88.46 |   94.73 | 284-292,320       
  context.js       |   64.55 |    62.96 |   72.22 |   64.38 | 49-107,256        
  discovery.js     |     100 |      100 |     100 |     100 |                   
  errors.js        |     100 |      100 |     100 |     100 |                   
  events.js        |     100 |      100 |     100 |     100 |                   
  hooks.js         |     100 |      100 |     100 |     100 |                   
  init.js          |   64.28 |    70.83 |   52.17 |   67.32 | ...66-170,229-233 
  local-client.js  |   98.66 |    84.78 |     100 |     100 | ...28,165,183-210 
  logger.js        |   95.56 |    84.03 |     100 |   98.93 | 310,352           
  middleware.js    |   97.45 |    92.55 |     100 |   98.21 | 200-201           
  ollama-client.js |   79.09 |       66 |   81.48 |   80.43 | ...33,765,807-832 
  orchestrator.js  |   64.47 |    58.89 |   55.55 |   66.41 | ...85-804,824-846 
  request-queue.js |   87.02 |       80 |   91.66 |   87.28 | ...54,257,290-295 
  vllm-client.js   |   98.64 |    94.87 |    87.5 |     100 | 47,149            
 api/core/plugins  |   89.28 |    93.22 |   93.54 |   88.97 |                   
  base.js          |   91.66 |      100 |   85.71 |    90.9 | 61                
  index.js         |     100 |      100 |     100 |     100 |                   
  manager.js       |   87.71 |    92.85 |   93.33 |   87.38 | 237-250,309-314   
 api/core/vision   |     100 |      100 |     100 |     100 |                   
  image-storage.js |     100 |      100 |     100 |     100 |                   
  roi-detector.js  |     100 |      100 |     100 |     100 |                   
 api/interactions  |   87.23 |     83.7 |   67.84 |   89.65 |                   
  actions.js       |   81.37 |    78.88 |    61.9 |   85.18 | ...24,250,255,324 
  banners.js       |     100 |    85.71 |      50 |     100 | 67                
  clickAt.js       |   98.46 |    91.48 |      75 |     100 | 112,119,147,153   
  cursor.js        |   93.16 |    80.64 |   85.71 |   94.07 | ...99-200,335-336 
  drag.js          |    96.7 |    90.47 |   88.88 |   97.67 | 56,73             
  game-units.js    |   96.85 |    93.54 |    90.9 |   97.58 | 41,46,59          
  gameMenus.js     |     100 |    94.73 |     100 |     100 | 216,272           
  gameState.js     |   85.62 |    95.52 |   47.36 |   90.34 | 178-184,193-199   
  keys.js          |   98.82 |    95.45 |   42.85 |   98.78 | 131               
  multiSelect.js   |   92.55 |    80.32 |   57.14 |   96.51 | 40,52,69          
  navigation.js    |    92.1 |     92.3 |      60 |   94.44 | 71,78             
  queries.js       |     100 |    66.66 |     100 |     100 | 21                
  scroll.js        |   62.26 |    62.89 |    45.9 |    65.1 | ...63,592-600,668 
  wait.js          |   97.72 |     92.3 |     100 |   97.56 | 62                
 api/profiles      |     100 |      100 |     100 |     100 |                   
 api/tests         |     100 |      100 |     100 |     100 |                   
  index.js         |     100 |      100 |     100 |     100 |                   
  mocks.js         |   66.66 |      100 |   33.33 |   63.63 | 30-33             
  page-mock.js     |     100 |      100 |     100 |     100 |                   
  responses.js     |     100 |      100 |     100 |     100 |                   
  index.js         |   77.77 |      100 |     100 |   77.77 | 79-80             
 api/tests/unit    |    91.3 |      100 |     100 |    90.9 |                   
  index.js         |   77.77 |      100 |     100 |   77.77 | 79-80             
 api/tests/utils   |   42.64 |    13.33 |   18.75 |   46.29 |                   
  test-helpers.js  |   42.64 |    13.33 |   18.75 |   46.29 | ...63-364,377-391 
 api/twitter       |   44.27 |    38.06 |      54 |   44.94 |                   
  intent-follow.js |     100 |    88.88 |      80 |     100 | 38-40             
  intent-like.js   |     100 |      100 |      80 |     100 |                   
  intent-post.js   |     100 |      100 |      80 |     100 |                   
  intent-quote.js  |   94.59 |       90 |      80 |   94.44 | 46-47             
  navigation.js    |   95.45 |    84.21 |      40 |     100 | 36-38,85          
  twitterAgent.js  |   13.77 |    12.42 |      25 |   13.73 | ...1985,1996-2071 
  BaseHandler.js   |   75.23 |    60.95 |   82.05 |      76 | ...84-487,492-501 
 api/utils         |   87.43 |    82.56 |   85.47 |    88.1 |                   
  ai-tools.js      |     100 |    96.77 |     100 |     100 | 63                
  apiHandler.js    |   93.75 |    94.11 |     100 |   93.75 | 50                
  async-queue.js   |   96.91 |    86.95 |   97.14 |    97.5 | 85,172,313-314    
  banner.js        |     100 |      100 |     100 |     100 |                   
  browserPatch.js  |   93.33 |    95.45 |     100 |    92.1 | 52,68,87          
  config-cache.js  |     100 |      100 |     100 |     100 |                   
  config.js        |     100 |      100 |     100 |     100 |                   
  configLoader.js  |   98.24 |    85.29 |     100 |   98.24 | 148               
  dockerLLM.js     |    85.1 |    77.77 |     100 |   83.72 | 46-47,76-79,90-91 
  envLoader.js     |   95.55 |    96.96 |    90.9 |   97.67 | 127               
  errors.js        |     100 |      100 |     100 |     100 |                   
  file.readline.js |     100 |      100 |     100 |     100 |                   
  fingerprint.js   |    90.9 |    42.85 |     100 |   89.47 | 30,67             
  ghostCursor.js   |   70.75 |    65.74 |   72.72 |   70.68 | ...29,440,447-455 
  locator.js       |     100 |      100 |     100 |     100 |                   
  math.js          |     100 |      100 |     100 |     100 |                   
  metrics.js       |   96.15 |    91.17 |   95.83 |   95.95 | ...45,268,603,617 
  multi-api.js     |   94.54 |    97.14 |      90 |   96.07 | 90-91             
  patch.js         |   42.62 |    29.82 |      25 |   43.96 | ...56-366,377,394 
  popup-closer.js  |   98.11 |    96.55 |     100 |     100 | 43                
  proxy-agent.js   |     100 |      100 |     100 |     100 |                   
  retry.js         |     100 |      100 |     100 |     100 |                   
  roi-detector.js  |   71.42 |    46.15 |     100 |   69.23 | 38-43             
  screenshot.js    |     100 |      100 |     100 |     100 |                   
  sensors.js       |     100 |      100 |    62.5 |     100 |                   
  timing.js        |     100 |    93.02 |     100 |     100 | 73,116            
  urlReferrer.js   |   91.74 |    90.16 |   93.93 |   91.95 | ...48-656,667-671 
  validator.js     |   96.29 |    93.33 |     100 |   96.25 | 88-89,144         
  visual-debug.js  |   98.38 |    82.22 |      90 |     100 | ...30-263,276,403 
